origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBBH;SBMG;1242,692;1,7;6164,13;1050;2050;759,8;675,59;479,2;;;;;;0;745,6152;0,01;
SBMG;SBBI;338,916;0,6;7800;1000;910;459,35;668;344,59;560;;;;;0;406,6992;0,01;
SBBI;SBBH;824,14;1,2;10140;1300;1540;759,8;763,34;;;;;;;0;988,968;0,01;
SBBH;SBGR;625,976;1;8805,9;1500;1420;759,8;515,35;239,6;600;;;;;285,8706468;751,1712;19058,04312;
SBGR;SBBH;490,78;0,7;;;1060;900,15;763,34;;;;;;;224,1293532;588,936;14941,95688;
SBBH;SBGL;383,364;0,7;11107,18;1892;950;759,8;526,31;139,8;800;;;;;178,0779758;230,0184;11871,86505;
SBGL;SBTV;864,884;1,3;;;1620;900,15;3264;;;1740;170;;;401,7507957;518,9304;26783,38638;
SBTV;SBTV;372,252;0,6;5978,5;550;860;;;;;;170;;;172,9162954;670,0536;11527,75302;
SBTV;SBGL;863,032;1,3;3663,19;337;1590;;526,31;;800;;;;;400,8905156;1553,4576;26726,03437;
SBGL;SBBH;425,96;0,7;5039,67;811;1050;900,15;763,34;;;;;;;197,8644176;766,728;13190,96117;
SBBH;SBBR;764,876;1,1;6457,66;1100;1520;759,8;507,16;525;1420;990;;;;341,391129;458,9256;22759,4086;
SBBR;SBBH;613,012;0,9;3766,53;601;1410;;763,34;;;;;;;273,608871;367,8072;18240,5914;
SBBH;SBSP;657,46;1;9539,72;1625;1440;759,8;730,68;100;750;;;;;278,1105991;394,476;18540,70661;
SBSP;SBBH;548,192;0,8;;;1140;900,15;763,34;;;;;;;231,8894009;328,9152;15459,29339;
SBBH;SBGR;601,9;0,9;5635,77;960;1280;759,8;515,35;778,7;1100;;;;;279,9831081;466,1989091;18665,54054;
SBGR;SBBH;494,484;0,8;;;1180;900,15;763,34;;;;;;;230,0168919;593,3808;15334,45946;
SBBH;SBGO;813,028;1,1;7925,31;1350;1550;759,8;668;;2000;1624,5;;;;332,9962073;975,6336;22199,74716;
SBGO;SBBH;651,904;1;3767,99;565;1320;759,8;763,34;;;;;;;267,0037927;1173,4272;17800,25284;
SBBH;SBGO;874,144;1,3;8589,51;1567;1660;759,8;668;150;800;1624,5;;;;318,989011;524,4864;21265,93407;
SBGO;SBBH;642,644;1;801,04;120;1390;759,8;763,34;;;;;;;234,510989;771,1728;15634,06593;
SBBH;SBBR;792,656;1,2;9324,0315;1701;1620;759,8;507,16;150;271,38;;;;;361,9328859;475,5936;24128,85906;
SBBR;SBBH;587,084;0,9;395,86;65;1260;900,15;763,34;;;;;;;268,0671141;352,2504;17871,14094;
SBBH;SBSP;681,536;1,1;7646,6925;1395;1410;759,8;730,68;;1300;1863,3;;;;317,5890411;503,2881231;21172,60274;
SBSP;SBBH;535,228;0,8;1473,75;172;1190;900,15;763,34;;;;;;;249,4109589;321,1368;16627,39726;
SBBH;SBTV;653,756;1;6960,92;1270;1370;759,8;;359,4;;2400;100;;446,37;0;392,2536;0,01;
SBTV;SBMO;885,256;1,3;2674,02;246;1590;;690,11;;735;;;;;504,4221106;531,1536;33628,1407;
SBMO;SBBR;1590,868;2,2;11257,06;1607;2800;759,8;507,16;560;;;;;;906,4824121;1340,700971;60432,1608;
SBBR;SBMO;1424,188;2;9429,74;1550;2500;900,15;690,11;335,2;810;;;;;811,5075377;2563,5384;54100,50251;
SBMO;SBTV;890,812;1,3;13124;1700;1690;759,8;3852;;;;;;;507,5879397;1603,4616;33839,19598;
SBTV;SBBH;724,132;1,1;;;1530;;763,34;;;;;;;0;1303,4376;0,01;
SBBH;SBRJ;435,22;0,8;7125,04;1300;1010;759,8;725,89;239,6;800;;;;;0;261,132;0,01;
SBRJ;SBBH;427,812;0,7;;;1110;759,8;763,34;;;;;;;0;256,6872;0,01;
SBBH;SBSP;763,024;1,3;5480,8;1000;1740;759,8;730,68;375;2825;2158,38;;200;365,79;0;457,8144;0,01;
SBSP;SBBH;575,972;0,9;7377,22;861;1310;900,15;763,34;10;;;;200;;0;345,5832;0,01;
SBBH;SBSV;1024,156;1,5;8878,9;1620;2000;759,8;573,39;340;600;;;;;543,431677;614,4936;36228,77847;
SBSV;SBPS;433,368;0,7;;;1040;759,8;544,21;700;3387,82;306;440;;;229,9511979;260,0208;15330,07986;
SBPS;SSRS;1716,804;2,2;11042,5;1750;2970;588,36;321,11;778;;1720;;;;910,9605146;1030,0824;60730,70098;
SSRS;SBBR;1685,32;2,3;18814;1636;2850;;507,16;285,39;3220;1398,25;;;;894,2546584;3033,576;59616,97723;
SBBR;SBRJ;968,596;1,4;7908,81;1300;1980;900,15;725,89;167,8;700;;;;;513,9507542;581,1576;34263,38361;
SBRJ;SBBH;433,368;0,7;4536,03;783;1040;759,8;763,34;;;;;;;229,9511979;260,0208;15330,07986;
SBBH;SBGR;613,012;0,9;9996,98;1824;1390;759,8;515,35;450;1100;;;;;271,3017857;420,3510857;18086,78571;
SBGR;SBCT;464,852;0,8;;;1170;900,15;673,19;;1300;;;;;205,7303571;557,8224;13715,35714;
SBCT;SBSP;477,816;1;1496,78;200;1180;900,15;730,68;150;2548;1365;;;;211,4678571;573,3792;14097,85714;
SBSP;SBBH;494,484;0,8;6186,24;722;1120;900,15;763,34;;;;;;;0;296,6904;0,01;
SBBH;SBFZ;1855,704;2,7;8769,28;1600;3100;759,8;720,08;730;3850;2622,9;;;;0;1113,4224;0,01;
SBFZ;SBBH;1946,452;2,7;10507,13;1699;3350;759,8;763,34;;;;;;781,95;0;3503,6136;0,01;
SBBH;SBCF;127,788;0,3;9777,75;1784;550;759,8;519,53;;;;;;;0;76,6728;0,01;
SBCF;SBIP;240,76;0,6;;;750;900,15;;;;;;;;0;144,456;0,01;
SBIP;SBCF;125,936;0,6;;;900;;519,53;;;;;;;0;75,5616;0,01;
SBCF;SBBH;59,264;0,2;;;400;900,15;763,34;;;;;;;0;35,5584;0,01;
SBBH;SBBR;701,908;1,1;6357,73;1160;1490;759,8;507,16;100;1185;;;;;369,255751;421,1448;24617,05007;
SBBR;SBBH;666,72;1;2956,68;486;1520;900,15;763,34;;;;;;;350,744249;800,064;23382,94993;
SBBH;SBRJ;409,292;0,7;6576,96;1200;1090;;876,01;239,6;700;;;;;0;245,5752;0,01;
SBRJ;SBBH;503,744;0,8;1158,63;200;1250;;763,34;;;;;;;0;604,4928;0,01;
SBBH;SBPS;659,312;1;5097,14;930;1370;759,8;544,21;639,2;2877,82;714;120;;180;302,3433814;395,5872;20156,22543;
SBPS;SBBH;753,764;1,1;4246,2;674;1590;588,36;763,34;778;;;;;;345,6566186;1356,7752;23043,77457;
SBBH;SBSP;790,804;1,2;7125,04;1300;1660;759,8;730,68;300;1940;;;200;104;0;474,4824;0,01;
SBSP;SBBH;500,04;0,8;4995,26;583;1130;900,15;763,34;;;;;200;;0;587,0034783;0,01;
SBBH;SBGR;616,716;1;4932,72;900;1420;759,8;515,35;179,7;600;;;;;300,3865979;740,0592;20025,7732;
SBGR;SBBH;461,148;0,8;2728;440;1030;900,15;763,34;;;;;;;224,6134021;553,3776;14974,2268;
